PO_Number,PO_Line_Number,PO_Date,PO_Fiscal_Year,PO_Type,PO_Line_Spend,PO_Line_Currency,PO_Line_Item,PO_Line_Unit_Price,PO_Line_Qty,PO_Line_UoM,PO_Line_Vendor,PO_Line_L4_Category,PO_Line_L2_Category,PO_Line_L1_Category,PO_Payment_Term,PO_Line_BU,PO_Line_L3_Category
352.,352_3,05-14-2015,2014-2015,NON-IT Goods,"$1,940.95",USD,"Jefferson's California Evidence Benchbook, 4th Edition, Print        (CP33830)",$388.19,5.,Each,Unknown,Code book,Printed media,Published Products,NET 45 DAYS,Agricultural Labor Relations Board,Printed publications
352.,352_7,05-14-2015,2014-2015,NON-IT Goods,$710.95,USD,CEB Action Guide: Handling Subpoenas        (CP11073),$142.19,5.,Each,Unknown,Code book,Printed media,Published Products,NET 45 DAYS,Agricultural Labor Relations Board,Printed publications
352.,352_11,04-27-2015,2014-2015,IT Services,"$16,450.00",USD,Amendment #2 - 6/22/15 - 6/21/16 at bid price,"$16,450.00",1.,Each,M3 Planning,Project management software,Software,Information Technology Broadcasting and Telecommunications,NET 45 DAYS,Health Care Services,Business function specific software
355.,355_1,05-06-2014,2013-2014,NON-IT Goods,"$5,922.50",USD,Aux. Diesel Fuel Tanks for Dozer Tenders,"$1,184.50",5.,Each,The Sign Center,Fuel tanks,Transportation components and systems,Commercial and Military and Private Vehicles and their Accessories and Components,NET 60 DAYS,Forestry and Fire Protection,Fuel tanks and systems
357.,357_2,06-06-2014,2013-2014,IT Services,"$9,150.68",USD,"ArcGIS Online Level 2 Plan; Includes Up to 50 Named Users and 10,000Service Credits","$9,150.68",1.,Each,JOHNNYS TREE SERVICE,Maintenance or support fees,Computer services,Engineering and Research and Technology Based Services,NET 45 DAYS,Public Health,Software maintenance and support
357.,357_6,05-14-2015,2014-2015,NON-IT Services,"$57,280.00",USD,"a.The Law Offices of Burke, Williams & Sorensen, LLP  (Contractor) shall provide legal representation to the California  Department of Corrections and Rehabilitation (CDCR) and/or its  employees as necessitated by the Office of the Attorney General  d","$57,280.00",1.,Each,"Burke, Williams & Sorensen, LLP",Legal assistance services,Civic organizations and associations and movements,Organizations and Clubs,NET 45 DAYS,Corrections and Rehabilitation,Charity organizations
359.,359_2,09-06-2014,2013-2014,NON-IT Services,"$81,960.00",USD,Roof and Gutter repair,"$81,960.00",1.,Each,A GOOD ROOFER INC,Gutters,Exterior finishing materials,Structures and Building and Construction and Manufacturing Components and Supplies,NET 60 DAYS,Transportation,Rain gutters and accessories
360.,360_3,05-22-2013,2012-2013,IT Services,"$1,620.00",USD,Citrix Access Gateway MPX 5500 Appliance Maintenance Software Support Renewal,"$1,620.00",1.,Each,"Citrix Systems, Inc.",Access software,Software,Information Technology Broadcasting and Telecommunications,NET 30 DAYS,Social Services,Networking software
360.,360_7,05-28-2015,2014-2015,NON-IT Goods,$-,USD,"California Civil Practice Statutes and Rules Annotated, 2015 ed.(California Desktop Codes), Book-Softbound",$-,5.,Each,J L HACKLER CONSTRUCTION,Law book,Printed media,Published Products,NET 30 DAYS,Agricultural Labor Relations Board,Printed publications
360.,360_11,05-28-2015,2014-2015,NON-IT Goods,"$41,504.88",USD,"All titles above referenced to below: Yr 1 $30,148 = Yr 2 $21,356.88","$41,504.88",1.,Each,J L HACKLER CONSTRUCTION,Government antitrust or regulations law services,Legal services,Management and Business Professionals and Administrative Services,NET 30 DAYS,Agricultural Labor Relations Board,Business law services
360.,360_15,05-28-2015,2014-2015,NON-IT Goods,$84.75,USD,"California Style Manual, 4th Edition, Book-Softbound",$16.95,5.,Each,J L HACKLER CONSTRUCTION,Law book,Printed media,Published Products,NET 30 DAYS,Agricultural Labor Relations Board,Printed publications
361.,361_3,06-20-2015,2014-2015,IT Services,"$1,500.00",USD,Mobile Encoder Upgrade:,$200.00,7.5,Each,Unknown,Encoder decoder equipment,Computer Equipment and Accessories,Information Technology Broadcasting and Telecommunications,NET 45 DAYS,High Speed Rail Authority,Computer accessories
362.,362_3,05-15-2015,2014-2015,NON-IT Services,"$37,500.00",USD,"Provide entertainment (""MKTO"" concert) during the 2015California State Fair.","$37,500.00",1.,Each,Unknown,Talent or entertainment,Marketing and distribution,Management and Business Professionals and Administrative Services,NET 30 DAYS,Exposition and State Fair,Trade shows and exhibits
363.,363_3,10-06-2014,2013-2014,IT Goods,$847.50,USD,"TONER:  HP 98, BLACK INK",$16.95,50.,Each,Technology Integration Group,Printer or facsimile toner,Office machines and their supplies and accessories,Office Equipment and Accessories and Supplies,NET 15 DAYS,Social Services,Printer and facsimile and photocopier supplies
364.,364_2,07-25-2013,2013-2014,NON-IT Goods,"$106,001.60",USD,"Electric Passenger Tram,10 Passenger (41-18A)","$13,250.20",8.,Each,Ethical Approach Inc,Utility service vehicles,Mining and quarrying machinery and equipment,Mining and Well Drilling Machinery and Accessories,NET 60 DAYS,Corrections and Rehabilitation,Underground mining service vehicles
1.,1_5,03-25-2013,2012-2013,NON-IT Goods,$60.00,USD,Blank plate,$20.00,3.,Each,"Better Presentation Systems, Inc.",Single phase motor AC,Power sources,Power Generation and Distribution Machinery and Accessories,NET 45 DAYS,Parks & Recreation,Electric alternating current AC motors
1.,1_11,03-25-2013,2012-2013,NON-IT Goods,$40.00,USD,AAP Single 3.5mm,$40.00,1.,Each,"Better Presentation Systems, Inc.",Single phase motor AC,Power sources,Power Generation and Distribution Machinery and Accessories,NET 45 DAYS,Parks & Recreation,Electric alternating current AC motors
1.,1_16,03-25-2013,2012-2013,NON-IT Goods,"$2,793.33",USD,Input Switch,"$2,793.33",1.,Each,"Better Presentation Systems, Inc.",Single phase motor AC,Power sources,Power Generation and Distribution Machinery and Accessories,NET 45 DAYS,Parks & Recreation,Electric alternating current AC motors
1.,1_21,03-25-2013,2012-2013,NON-IT Goods,"$3,860.00",USD,Projector,"$3,860.00",1.,Each,"Better Presentation Systems, Inc.",Single phase motor AC,Power sources,Power Generation and Distribution Machinery and Accessories,NET 45 DAYS,Parks & Recreation,Electric alternating current AC motors
1.,1_27,03-25-2013,2012-2013,NON-IT Goods,"$1,993.33",USD,Optional Lens,"$1,993.33",1.,Each,"Better Presentation Systems, Inc.",Single phase motor AC,Power sources,Power Generation and Distribution Machinery and Accessories,NET 45 DAYS,Parks & Recreation,Electric alternating current AC motors
4.,4_1,03-26-2013,2012-2013,NON-IT Goods,$48.62,USD,Oil Change,$48.62,1.,Each,NOR CAL PERFORMANCE,Oil or transmission fluid change services,Transportation repair or maintenance services,Transportation and Storage and Mail Services,Unspecified,Pesticide Regulation,Vehicle maintenance and repair services
4.,4_6,03-26-2014,2013-2014,IT Services,"$235,718.40",USD,Task 3 - Technical Support and M & O (Year 2),"$235,718.40",1.,Each,PALANTIR TECHNOLOGY INC,Data base management system software,Software,Information Technology Broadcasting and Telecommunications,Unspecified,Corrections and Rehabilitation,Data management and query software
5.,5_4,03-25-2014,2013-2014,NON-IT Goods,$4.46,USD,Buffet Sign,$4.46,1.,Each,Grainger Industrial Supply,Dining servers or buffets,Accommodation furniture,Furniture and Furnishings,NET 45 DAYS,Fish and Wildlife,Furniture
5.,5_9,03-25-2014,2013-2014,NON-IT Goods,$26.82,USD,Primer,$13.41,2.,Each,Grainger Industrial Supply,Polyolefin foam,Resins and rosins and other resin derived materials,Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials,NET 45 DAYS,Fish and Wildlife,Foams
5.,5_14,03-25-2014,2013-2014,NON-IT Goods,$12.06,USD,Hitch Ball,$12.06,1.,Each,Grainger Industrial Supply,Polyolefin foam,Resins and rosins and other resin derived materials,Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials,NET 45 DAYS,Fish and Wildlife,Foams
5.,5_20,03-25-2014,2013-2014,NON-IT Goods,$200.39,USD,"Gooseneck Faucet, Manual Lever",$200.39,1.,Each,Grainger Industrial Supply,Polyolefin foam,Resins and rosins and other resin derived materials,Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials,NET 45 DAYS,Fish and Wildlife,Foams
5.,5_25,03-25-2014,2013-2014,NON-IT Goods,$96.80,USD,2-Cycle Oil,$9.68,10.,Each,Grainger Industrial Supply,Engine oil,Lubricants and oils and greases and anti corrosives,Fuels and Fuel Additives and Lubricants and Anti corrosive Materials,NET 45 DAYS,Fish and Wildlife,Lubricating preparations
5.,5_30,03-25-2014,2013-2014,NON-IT Goods,"$1,260.00",USD,"Pin Rack Unit, Plastic Nozzle",$420.00,3.,Each,Grainger Industrial Supply,Fire hoses or nozzles,Fire protection,Defense and Law Enforcement and Security and Safety Equipment and Supplies,NET 45 DAYS,Fish and Wildlife,Fire fighting equipment
5.,5_36,03-25-2014,2013-2014,NON-IT Goods,$6.48,USD,"Elbow, 90 Degrees, 1 in Slip, PVC, Sch 40",$0.81,8.,Each,Grainger Industrial Supply,PVC plastic pipe elbow,Pipe piping and pipe fittings,Distribution and Conditioning Systems and Equipment and Components,NET 45 DAYS,Fish and Wildlife,Pipe elbows
5.,5_41,03-25-2014,2013-2014,NON-IT Goods,$87.68,USD,Two Way Radio,$43.84,2.,Each,Grainger Industrial Supply,Thermoplastic,Rubber and elastomers,Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials,NET 45 DAYS,Fish and Wildlife,Elastomers
5.,5_46,03-25-2014,2013-2014,NON-IT Goods,$22.76,USD,Square Point Shovel,$11.38,2.,Each,Grainger Industrial Supply,Wire mesh fabric or cloth,Fabrics and leather materials,Mineral and Textile and Inedible Plant and Animal Materials,NET 45 DAYS,Fish and Wildlife,Specialty fabrics or cloth
5.,5_52,03-25-2014,2013-2014,NON-IT Goods,$18.98,USD,Ratchet Tie-Down Strap,$18.98,1.,Each,Grainger Industrial Supply,Wire mesh fabric or cloth,Fabrics and leather materials,Mineral and Textile and Inedible Plant and Animal Materials,NET 45 DAYS,Fish and Wildlife,Specialty fabrics or cloth
5.,5_57,03-25-2014,2013-2014,NON-IT Goods,$245.70,USD,Receptable,$8.19,30.,Each,Grainger Industrial Supply,Polyolefin foam,Resins and rosins and other resin derived materials,Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials,NET 45 DAYS,Fish and Wildlife,Foams
5.,5_62,03-25-2014,2013-2014,NON-IT Goods,$300.40,USD,Track Fixture Kit,$75.10,4.,Each,Grainger Industrial Supply,Wire mesh fabric or cloth,Fabrics and leather materials,Mineral and Textile and Inedible Plant and Animal Materials,NET 45 DAYS,Fish and Wildlife,Specialty fabrics or cloth
5.,5_68,03-25-2014,2013-2014,NON-IT Goods,$35.42,USD,Wide Mouth Jars,$35.42,1.,Each,Grainger Industrial Supply,Jars,Containers and storage,Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies,NET 45 DAYS,Fish and Wildlife,Liquid containers
5.,5_73,03-25-2014,2013-2014,NON-IT Goods,"$1,960.80",USD,"Sectional Drain Cleaning Machine, 1/2 hp","$1,960.80",1.,Each,Grainger Industrial Supply,Drain or pipe cleaning equipment,Janitorial equipment,Cleaning Equipment and Supplies,NET 45 DAYS,Fish and Wildlife,Cleaning equipment
5.,5_78,03-25-2014,2013-2014,NON-IT Goods,$80.76,USD,Dual Temperature Heat Gun,$80.76,1.,Each,Grainger Industrial Supply,Engine oil,Lubricants and oils and greases and anti corrosives,Fuels and Fuel Additives and Lubricants and Anti corrosive Materials,NET 45 DAYS,Fish and Wildlife,Lubricating preparations
5.,5_84,03-25-2014,2013-2014,NON-IT Goods,$239.88,USD,Carpeted Entrance Mat,$79.96,3.,Each,Grainger Industrial Supply,Wire mesh fabric or cloth,Fabrics and leather materials,Mineral and Textile and Inedible Plant and Animal Materials,NET 45 DAYS,Fish and Wildlife,Specialty fabrics or cloth
5.,5_89,03-25-2014,2013-2014,NON-IT Goods,$128.80,USD,Antifatigue mat,$128.80,1.,Each,Grainger Industrial Supply,Polyolefin foam,Resins and rosins and other resin derived materials,Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials,NET 45 DAYS,Fish and Wildlife,Foams
5.,5_94,03-25-2014,2013-2014,NON-IT Goods,$59.22,USD,"Testing Sieve, Brass, 8 in Dia.",$59.22,1.,Each,Grainger Industrial Supply,Garden sieve,Hand tools,Tools and General Machinery,NET 45 DAYS,Fish and Wildlife,"Agriculture, forestry and garden handtools"
5.,5_100,03-25-2014,2013-2014,NON-IT Goods,$101.76,USD,"Std Cap, Pleated Filter",$4.24,24.,Each,Grainger Industrial Supply,Polyolefin foam,Resins and rosins and other resin derived materials,Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials,NET 45 DAYS,Fish and Wildlife,Foams
5.,5_105,03-25-2014,2013-2014,NON-IT Goods,$41.44,USD,trash can,$41.44,1.,Each,Grainger Industrial Supply,Shower head,Plumbing fixtures,Structures and Building and Construction and Manufacturing Components and Supplies,NET 45 DAYS,Fish and Wildlife,"Faucet and shower heads, jets and parts and accessories"
5.,5_110,03-25-2014,2013-2014,NON-IT Goods,$76.62,USD,Graded Density Cartridge,$12.77,6.,Each,Grainger Industrial Supply,Polyolefin foam,Resins and rosins and other resin derived materials,Resin and Rosin and Rubber and Foam and Film and Elastomeric Materials,NET 45 DAYS,Fish and Wildlife,Foams
8.,8_1,12-07-2012,2012-2013,NON-IT Goods,"$14,000.00",USD,"Standing orders subscriptions for the Sacrameno, Oakland, San Francisco, Fresno, Los Angeles and San Diego law libraries of the California Attorney Generals Office.","$14,000.00",1.,Each,William S. Hein & Co.,Publication printing,Reproduction services,Editorial and Design and Graphic and Fine Art Services,Unspecified,Justice,Printing
9.,9_3,03-28-2014,2013-2014,NON-IT Goods,"$3,500.00",USD,"DECAL, SELF ADHESIVE, PRESSURE SENSITIVE , 2 ,MILTHCK  constructed of polyester film or equivalent material,white on clear sheeting background, size: 2.25""h x 24'l to read :""SAFETY, SERVICE AND SECURITY"", PIA 769000.0106",$3.50,1000.,Each,Prison Industry Authority,Decals,Signage and accessories,Published Products,NET 30 DAYS,Highway Patrol,Labels
10.,10_1,03-28-2014,2013-2014,NON-IT Goods,$25.00,USD,Set -Up Fee,$25.00,1.,Each,Prison Industry Authority,Log books or pads,Paper products,Paper Materials and Products,NET 45 DAYS,Highway Patrol,Printing and writing paper
11.,11_3,03-28-2014,2013-2014,NON-IT Goods,"$7,365.00",USD,"CASE, FLAG, MEMORIAL, TRIANGULAR SHAPE, SIZE : 26"" X 13"" X3-1/2"" THICK, OAK, CUSTOM, ON A PEDESTAL, REF. BRAND: LEE'S WOOD # FB-250-0",$147.30,50.,Each,AWARDS BY KAY INC,Flag storage box or case,Containers and storage,Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies,NET 45 DAYS,Highway Patrol,Storage chests and cabinets and trunks
12.,12_5,03-28-2014,2013-2014,NON-IT Goods,"$8,589.65",USD,Herbicide,$34.29,250.5,Each,California Veteran Supply Inc.,Weed killer,Fertilizers and plant nutrients and herbicides,Live Plant and Animal Material and Accessories and Supplies,NET 60 DAYS,Transportation,Herbicides
14.,14_2,06-10-2014,2014-2015,IT Services,"$254,100.00",USD,IT Consulting Services - Enterprise Architect,$1.00,254100.,Each,Sabot Technologies Inc.,Project administration or planning,Management advisory services,Management and Business Professionals and Administrative Services,NET 30 DAYS,Correctional Health Care Services,Project management
16.,16_3,12-05-2015,2014-2015,IT Services,"$500,000.00",USD,IT Consulting,"$500,000.00",1.,Each,SOFTSOL TECHNOLOGIES INC,Information technology consultation services,Management advisory services,Management and Business Professionals and Administrative Services,NET 30 DAYS,Equalization,Business and corporate management consultation services
17.,17_5,02-04-2014,2013-2014,NON-IT Goods,$316.00,USD,"SPLINT, FOREARM, CARDBOARD, 18"", with foam, Ref. Med 13991, BrandMOR, Model # 1530-25",$1.58,200.,Each,IBHP INCORPORATED,Emergency medical services patient transport kits or supplies,Emergency and field medical services products,Medical Equipment and Accessories and Supplies,NET 45 DAYS,Highway Patrol,Emergency and field medical services kits
17.,17_10,02-04-2014,2013-2014,NON-IT Goods,$312.00,USD,"OINTMENT, TRIPLE ANTIBIOTIC CREAM, (25) 5gm foil packets per package,Ref. Brand: ARI, 61604",$1.95,160.,Each,IBHP INCORPORATED,Emergency medical services patient transport kits or supplies,Emergency and field medical services products,Medical Equipment and Accessories and Supplies,NET 45 DAYS,Highway Patrol,Emergency and field medical services kits
17.,17_16,02-04-2014,2013-2014,NON-IT Goods,"$8,334.00",USD,"BAG VALVE MASK, disposable, adult, transparent PVC construction, latexfree, adj. hook and loop handle, reinforced non-kink 02 tubing, closedsystem oxygen reservior, Ref. Brand: Laerdal The Bag #845011 (Any otherbrand quoted will require pre-approval from Academy EMS Unit)",$9.26,900.,Each,IBHP INCORPORATED,Emergency medical services patient transport kits or supplies,Emergency and field medical services products,Medical Equipment and Accessories and Supplies,NET 45 DAYS,Highway Patrol,Emergency and field medical services kits
18.,18_3,02-04-2014,2013-2014,NON-IT Goods,"$15,120.00",USD,"BATTERY, ALKALINE, AAA, 1.5 volt, 144 per case, Ref. Brand: Energizer #EN92, BRAND RAY-O-VAC, 24 PACK",$8.40,1800.,Each,B&J Supply,Alkaline batteries,Batteries and generators and kinetic power transmission,Power Generation and Distribution Machinery and Accessories,NET 30 DAYS,Highway Patrol,Batteries and cells and accessories
19.,19_5,02-04-2014,2013-2014,NON-IT Goods,"$7,996.00",USD,"MSA BAG, DUFFLE, 30 ""x 13 ""x 14,"" Brand, Western Pack2000 Series, Model # 2030BLK",$19.99,400.,Each,IBHP INCORPORATED,Law enforcement vocational training services,Vocational training,Education and Training Services,NET 30 DAYS,Highway Patrol,Non scientific vocational training services
22.,22_1,03-27-2015,2014-2015,NON-IT Goods,"$203,066.40",USD,MENS SHORTS,"$203,066.40",1.,Each,Prison Industry Authority,Mens slacks or trousers or shorts,Clothing,Apparel and Luggage and Personal Care Products,NET 30 DAYS,Corrections and Rehabilitation,Slacks and trousers and shorts
28.,28_1,03-30-2015,2014-2015,NON-IT Services,"$24,500.00",USD,Emergency Roof repair form stom damaged roof on main equipment buildinglee vining maintenance station Mono County,"$24,500.00",1.,Each,Ron Kuppens Roofing,Metal roof tile,Exterior finishing materials,Structures and Building and Construction and Manufacturing Components and Supplies,NET 30 DAYS,Transportation,Roofing materials
31.,31_2,03-04-2015,2014-2015,NON-IT Goods,$195.00,USD,Power Supply for IP-223 AC/Adapter,$195.00,1.,Each,"Callor Sales, Inc",Radio frequency data communication equipment,Data Voice or Multimedia Network Equipment or Platforms and Accessories,Information Technology Broadcasting and Telecommunications,NET 45 DAYS,California Emergency Management Agency,Fixed network equipment and components
33.,33_1,06-04-2015,2014-2015,IT Goods,"$9,154.20",USD,(6) Power Desktop 800G1 CMT,"$9,154.20",1.,Each,"Western Blue, an NWN Company",Notebook computers,Computer Equipment and Accessories,Information Technology Broadcasting and Telecommunications,NET 30 DAYS,Financial Institutions,Computers
43.,43_1,03-26-2013,2012-2013,IT Goods,$204.00,USD,Online Survey Software,$204.00,1.,Each,SurveyMonkey.com,Market research paper surveys,Marketing and distribution,Management and Business Professionals and Administrative Services,NET 60 DAYS,Pesticide Regulation,Market research
46.,46_1,03-27-2013,2012-2013,NON-IT Services,"$1,149,495.00",USD,Temporary/Relief Licensed Clinical Social Worker Services,"$1,149,495.00",1.,Each,All's Well Healthcare Services,Rehabilitation services for substance abuse,Medical practice,Healthcare Services,Unspecified,Correctional Health Care Services,Rehabilitation services
47.,47_6,06-04-2015,2014-2015,NON-IT Goods,"$7,425.40",USD,Wax FLoor Finish,$13.55,548.,Each,PIA,Detergent surfactants,Additives,Chemicals including Bio Chemicals and Gas Materials,NET 30 DAYS,Corrections and Rehabilitation,Surfactants
47.,47_11,06-04-2015,2014-2015,NON-IT Goods,"$3,600.00",USD,SANI GARD 24 7 KITCHEN,$18.00,200.,Each,PIA,Detergent surfactants,Additives,Chemicals including Bio Chemicals and Gas Materials,NET 30 DAYS,Corrections and Rehabilitation,Surfactants
48.,48_2,06-30-2014,2013-2014,IT Services,"$7,952.64",USD,POC #1 - System Engineer - WebFocus - Software Maintenance,$165.68,48.,Each,"immixTechnology, Inc.",Customs consulting service,Trade policy and services,Management and Business Professionals and Administrative Services,NET 15 DAYS,Health Care Services,International trade services
49.,49_5,04-22-2015,2014-2015,NON-IT Goods,$219.20,USD,Fish food,$0.02,10960.,Each,"Rangen, Inc.",Fish food pellets,Animal feed,Live Plant and Animal Material and Accessories and Supplies,NET 30 DAYS,Fish and Wildlife,Fish food
51.,51_1,02-04-2013,2012-2013,NON-IT Goods,"$2,637.67",USD,foodstuff,"$2,637.67",1.,Each,Sysco Foods of Ventura Inc,"Beef, minimally processed without additions",Meat and poultry products,Food Beverage and Tobacco Products,Unspecified,Conservation Corps,Minimally processed meat and poultry products
52.,52_2,03-04-2013,2012-2013,NON-IT Goods,"$5,565.00",USD,Blowers,"$1,855.00",3.,Each,Sierra Wholesale Electric,Blowers,Heating and ventilation and air circulation,Distribution and Conditioning Systems and Equipment and Components,NET 45 DAYS,Fish and Wildlife,Air circulation and parts and accessories
53.,53_5,04-04-2013,2012-2013,NON-IT Goods,"$27,720.00",USD,Hanna's CA Law of Employee Injuries & Workers' Compensation (2013update ONLY),$840.00,33.,Each,LexisNexis Matthew Bender,Periodicals,Printed media,Published Products,NET 45 DAYS,Industrial Relations,Printed publications
53.,53_10,04-04-2013,2012-2013,NON-IT Goods,$420.00,USD,Shipping (Line 5)      PRICES ARE FOR PREPAYMENT   Billing Account #0009103301,$12.00,35.,Each,LexisNexis Matthew Bender,Periodicals,Printed media,Published Products,NET 45 DAYS,Industrial Relations,Printed publications
54.,54_5,04-04-2013,2012-2013,NON-IT Goods,"$1,376.00",USD,Shipping (Line 2),$32.00,43.,Each,LexisNexis Matthew Bender,Periodicals,Printed media,Published Products,NET 60 DAYS,Industrial Relations,Printed publications
54.,54_11,07-04-2014,2013-2014,IT Services,"$9,607.08",USD,hardware support and maintenance,"$9,607.08",1.,Each,HEWLETT PACKARD,Computer hardware maintenance support service,Computer services,Engineering and Research and Technology Based Services,NET 60 DAYS,Transportation,System and system component administration services
57.,57_4,08-04-2014,2013-2014,NON-IT Goods,"$95,400.00",USD,At ten (10) correctional facilities located throughout California,"$31,800.00",3.,Each,NEW READERS PRESS,Multi-media educational software,Software,Information Technology Broadcasting and Telecommunications,NET 45 DAYS,Corrections and Rehabilitation,Educational or reference software
58.,58_1,08-04-2014,2013-2014,NON-IT Goods,$159.95,USD,BG-E& Battery Grip,$159.95,1.,Each,The Baking Company of Ukiah,Quick grip clamp,Hardware,Manufacturing Components and Supplies,NET 30 DAYS,Fish and Wildlife,Clamps
58.,58_7,08-04-2014,2013-2014,NON-IT Goods,$27.00,USD,77mm UV filter,$13.50,2.,Each,The Baking Company of Ukiah,Camera lens filter,Photographic or filming or video equipment,Printing and Photographic and Audio and Visual Equipment and Supplies,NET 30 DAYS,Fish and Wildlife,Camera accessories
58.,58_12,08-04-2014,2013-2014,NON-IT Goods,$46.00,USD,EW83J Lens Hood,$46.00,1.,Each,The Baking Company of Ukiah,Camera lens,Photographic or filming or video equipment,Printing and Photographic and Audio and Visual Equipment and Supplies,NET 30 DAYS,Fish and Wildlife,Camera accessories
61.,61_1,07-04-2015,2014-2015,NON-IT Goods,"$44,254.00",USD,"Bus, Class B Ford E-450 Gas, ADA, Mor-Ryde suspension, exterior lighting, interiorlighting, Recaro driver seat","$44,254.00",1.,Each,"Creative Bus Sales, Inc.",Busses,Motor vehicles,Commercial and Military and Private Vehicles and their Accessories and Components,NET 60 DAYS,Corrections and Rehabilitation,Passenger motor vehicles
66.,66_3,08-04-2015,2014-2015,NON-IT Goods,"$5,712.00",USD,"CHILI CON CARNE W/BEANS, REG",$51.00,112.,Each,ABC Ventures LLC,"Beef, processed with additions",Meat and poultry products,Food Beverage and Tobacco Products,NET 45 DAYS,Corrections and Rehabilitation,Processed meat and poultry products
